,Unnamed: 0,fn,fnum,objname,filter,trimsec,biassec
138,138,../Imaging/a139.fits,139,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]"
139,139,../Imaging/a142.fits,142,Michael 1,I,"[:53, 1:2048]","[54:2101, 1:2048]"
140,140,../Imaging/a143.fits,143,Michael 1,I,"[:53, 1:2048]","[54:2101, 1:2048]"
141,141,../Imaging/a144.fits,144,Michael 1,R,"[:53, 1:2048]","[54:2101, 1:2048]"
142,142,../Imaging/a145.fits,145,Michael 1,R,"[:53, 1:2048]","[54:2101, 1:2048]"
143,143,../Imaging/a146.fits,146,Michael 1,V,"[:53, 1:2048]","[54:2101, 1:2048]"
144,144,../Imaging/a147.fits,147,Michael 1,V,"[:53, 1:2048]","[54:2101, 1:2048]"
145,145,../Imaging/a148.fits,148,Michael 1,B,"[:53, 1:2048]","[54:2101, 1:2048]"
146,146,../Imaging/a149.fits,149,Michael 1,B,"[:53, 1:2048]","[54:2101, 1:2048]"
147,147,../Imaging/a150.fits,150,Michael 1,U,"[:53, 1:2048]","[54:2101, 1:2048]"
148,148,../Imaging/a151.fits,151,Michael 1,U,"[:53, 1:2048]","[54:2101, 1:2048]"
149,149,../Imaging/a153.fits,153,NGC6823,I,"[:53, 1:2048]","[54:2101, 1:2048]"
150,150,../Imaging/a154.fits,154,NGC6823,I,"[:53, 1:2048]","[54:2101, 1:2048]"
151,151,../Imaging/a155.fits,155,NGC6823,R,"[:53, 1:2048]","[54:2101, 1:2048]"
152,152,../Imaging/a156.fits,156,NGC6823,R,"[:53, 1:2048]","[54:2101, 1:2048]"
153,153,../Imaging/a157.fits,157,NGC6823,V,"[:53, 1:2048]","[54:2101, 1:2048]"
154,154,../Imaging/a158.fits,158,NGC6823,V,"[:53, 1:2048]","[54:2101, 1:2048]"
155,155,../Imaging/a159.fits,159,NGC6823,V,"[:53, 1:2048]","[54:2101, 1:2048]"
156,156,../Imaging/a160.fits,160,NGC6823,B,"[:53, 1:2048]","[54:2101, 1:2048]"
157,157,../Imaging/a161.fits,161,NGC6823,B,"[:53, 1:2048]","[54:2101, 1:2048]"
158,158,../Imaging/a162.fits,162,NGC6823,U,"[:53, 1:2048]","[54:2101, 1:2048]"
159,159,../Imaging/a163.fits,163,NGC6823,U,"[:53, 1:2048]","[54:2101, 1:2048]"
160,160,../Imaging/a165.fits,165,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
161,161,../Imaging/a166.fits,166,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
162,162,../Imaging/a167.fits,167,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
163,163,../Imaging/a168.fits,168,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
164,164,../Imaging/a169.fits,169,M16,B,"[:53, 1:2048]","[54:2101, 1:2048]"
165,165,../Imaging/a170.fits,170,M16,V,"[:53, 1:2048]","[54:2101, 1:2048]"
166,166,../Imaging/a171.fits,171,M16,V,"[:53, 1:2048]","[54:2101, 1:2048]"
167,167,../Imaging/a172.fits,172,M16,V,"[:53, 1:2048]","[54:2101, 1:2048]"
168,168,../Imaging/a173.fits,173,M16,R,"[:53, 1:2048]","[54:2101, 1:2048]"
169,169,../Imaging/a174.fits,174,M16,R,"[:53, 1:2048]","[54:2101, 1:2048]"
170,170,../Imaging/a175.fits,175,M16,R,"[:53, 1:2048]","[54:2101, 1:2048]"
171,171,../Imaging/a176.fits,176,M16,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
172,172,../Imaging/a177.fits,177,M16,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
173,173,../Imaging/a178.fits,178,M16,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
174,174,../Imaging/a179.fits,179,M16,U,"[:53, 1:2048]","[54:2101, 1:2048]"
175,175,../Imaging/a180.fits,180,M16,U,"[:53, 1:2048]","[54:2101, 1:2048]"
176,176,../Imaging/a181.fits,181,M16,U,"[:53, 1:2048]","[54:2101, 1:2048]"
177,177,../Imaging/a183.fits,183,NGC7006,V,"[:53, 1:2048]","[54:2101, 1:2048]"
178,178,../Imaging/a184.fits,184,NGC7006,V,"[:53, 1:2048]","[54:2101, 1:2048]"
179,179,../Imaging/a185.fits,185,NGC7006,R,"[:53, 1:2048]","[54:2101, 1:2048]"
180,180,../Imaging/a186.fits,186,NGC7006,R,"[:53, 1:2048]","[54:2101, 1:2048]"
181,181,../Imaging/a187.fits,187,NGC7006,I,"[:53, 1:2048]","[54:2101, 1:2048]"
182,182,../Imaging/a188.fits,188,NGC7006,I,"[:53, 1:2048]","[54:2101, 1:2048]"
183,183,../Imaging/a189.fits,189,NGC7006,B,"[:53, 1:2048]","[54:2101, 1:2048]"
184,184,../Imaging/a190.fits,190,NGC7006,B,"[:53, 1:2048]","[54:2101, 1:2048]"
185,185,../Imaging/a191.fits,191,NGC7006,U,"[:53, 1:2048]","[54:2101, 1:2048]"
186,186,../Imaging/a192.fits,192,NGC7006,U,"[:53, 1:2048]","[54:2101, 1:2048]"
187,187,../Imaging/a194.fits,194,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
188,188,../Imaging/a195.fits,195,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
189,189,../Imaging/a196.fits,196,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
190,190,../Imaging/a197.fits,197,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
191,191,../Imaging/a198.fits,198,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
192,192,../Imaging/a199.fits,199,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
193,193,../Imaging/a200.fits,200,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
194,194,../Imaging/a201.fits,201,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
195,195,../Imaging/a202.fits,202,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
196,196,../Imaging/a203.fits,203,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]"
197,197,../Imaging/a204.fits,204,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
198,198,../Imaging/a205.fits,205,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]"
199,199,../Imaging/a206.fits,206,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]"
